Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,10.12539816,6.003951693,-1.026420454,2.405323781,-2.512615321,2.731159828,-2.080327844,2.668590379,-2.481792445,-2.162952121
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,9270,10710,11870,12840,12330,12570,12220,13120,12390,11200
Argentina,ARG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,17440,18770,19150,19650,19250,19700,19860,22960,22450,22060
Argentina,ARG,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,3.78137E+11,4.42107E+11,4.9526E+11,5.41953E+11,5.2594E+11,5.42376E+11,5.3259E+11,5.77977E+11,5.51173E+11,5.03116E+11
Argentina,ARG,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,7.11419E+11,7.74597E+11,7.99049E+11,8.29354E+11,8.21363E+11,8.49528E+11,8.65869E+11,1.01137E+12,9.98831E+11,9.91401E+11
Argentina,ARG,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,17.70553381,18.39845892,16.50198653,17.3057789,17.26288101,17.07070488,17.66322786,18.75723171,20.96583763,18.16636754
Argentina,ARG,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,7.747796267,7.354375081,6.668610427,7.478181328,7.074803755,9.26893795,9.020165318,9.237250108,5.334288406,5.123762199
Argentina,ARG,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,95,95,94,94,95,89,90,89,94,94
Argentina,ARG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,16.03718986,16.75694585,14.28868291,14.71675561,14.00131506,11.78057404,13.56679268,13.98061064,16.41992841,15.10344797
Argentina,ARG,Income share held by lowest 20%,SI.DST.FRST.20,4.1,4.8,5,5,5,..,4.9,5.1,5,..
Argentina,ARG,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,25.25877626,25.21269761,24.42905706,24.00588144,24.27739449,23.15305614,22.05410721,21.8690651,22.96727734,23.13191725
Argentina,ARG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,20.91512427,23.70347218,22.31488067,23.94879842,40.28297163,26.5799916,41.11937999,26.00748315,40.70279069,51.50833752
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.278,75.439,75.598,75.756,75.913,76.068,76.221,76.372,76.52,..
Argentina,ARG,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,29.50233943,29.87192918,27.09904323,27.24604172,25.48641191,19.67030526,20.40459154,19.53972429,24.47970222,25.40566746
Argentina,ARG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.814878105,0.764287094,0.784824721,0.83773643,0.878100919,0.850128583,0.813140078,0.856137916,0.854560979,..
Argentina,ARG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,139.580018,146.9554555,154.059023,159.6394613,143.6158316,143.566834,146.4538276,140.8771235,132.0931513,130.8743992
Argentina,ARG,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,14.4,13.9,13.3,12.7,12.1,11.5,10.9,10.3,9.8,9.3
Argentina,ARG,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,144.6497531,160.459876,167.3631137,156.3571727,153.3167019,146.0703277,155.1966702,150.6282024,152.2067635,..
Argentina,ARG,Net migration,SM.POP.NETM,..,..,30000,..,..,..,..,24000,..,..
Argentina,ARG,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,130309997.6,97050003.05,177759994.5,34729999.54,48790000.92,-18870000.84,2619999.886,-1169999.957,70989997.86,..
Argentina,ARG,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,644300740.1,697379575.1,577532962.1,535004409.4,505346891.7,494433532.1,391579047.7,479937458.3,515857737.2,535151226.9
Argentina,ARG,Population density (people per sq. km of land area),EN.POP.DNST,14.90430155,15.0771516,15.2495427,15.42116023,15.59164538,15.76063274,15.92813508,16.09419079,16.2585101,..
Argentina,ARG,Population growth (annual %),SP.POP.GROW,0.752213052,1.15305928,1.136905694,1.1191092,1.099461091,1.078001344,1.057181578,1.037133897,1.015808349,0.993397493
Argentina,ARG,"Population, total",SP.POP.TOTL,40788453,41261490,41733271,42202935,42669500,43131966,43590368,44044811,44494502,44938712
Argentina,ARG,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,2.2,0.9,0.8,0.7,0.7,..,0.7,0.5,1,..
Argentina,ARG,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,30.3,25.7,32,..
Argentina,ARG,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Argentina,ARG,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,..,..,..,..,..,..,..,..,1.7
Argentina,ARG,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,103.56741,103.88771,103.35225,101.64501,103.10644,102.97374,103.89357,99.96276,..,..
Argentina,ARG,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,21.24131643,20.19640807,21.1822346,21.56528296,22.33229437,22.1490803,21.25670131,19.36518963,17.87094322,..
Argentina,ARG,"School enrollment, primary (% gross)",SE.PRM.ENRR,116.97576,115.61473,114.22717,112.01195,111.45967,111.30341,110.73918,109.74146,..,..
Argentina,ARG,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1.03598,1.0402,1.03461,1.03136,1.03123,1.02838,1.02081,1.01963,..,..
Argentina,ARG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,99.50126,101.535,103.47648,105.04141,106.03556,106.94647,108.46233,108.7336,..,..
Argentina,ARG,Statistical Capacity score (Overall average),IQ.SCI.OVRL,86.66666667,85.55555556,85.55555556,76.66666667,83.33333333,95.55556667,88.8889,85.55556667,81.1111,80
Argentina,ARG,Surface area (sq. km),AG.SRF.TOTL.K2,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,..
Argentina,ARG,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,12.85304269,12.6636277,12.95284151,12.45290276,12.61096661,12.33650694,12.09728364,10.95550149,10.08749931,..
Argentina,ARG,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,..,..,..,..,..,..,7.528593349,7.40512875,7.40512875,..
Argentina,ARG,Time required to start a business (days),IC.REG.DURS,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,11,11.5
Argentina,ARG,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,18.64262334,15.65506279,14.06013209,17.14479497,20.16932054,24.73314803,34.90800479,51.58681493,45.0412275,..
Argentina,ARG,Urban population growth (annual %),SP.URB.GROW,0.926281041,1.308141316,1.280773703,1.25948243,1.239638679,1.215797063,1.192602919,1.170195959,1.147602159,1.125019726
Australia,AUS,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,14.2212,13.2616,12.302,12.1846,12.0672,11.9498,11.8324,11.715,11.3258,..
Australia,AUS,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,2.197568265,2.276542366,2.254748049,2.278906495,2.216223655,2.372644114,2.403122994,2.70017413,2.455186282,2.085252711
Australia,AUS,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,..,3.140243902,..,3.140243902,..,..,..,..,..
Australia,AUS,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,99.1,99.1,..,99.3,99.7,99.7,..,..,..,..
Australia,AUS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,17.74084505,17.53887776,17.07290468,16.09805289,15.39110908,15.33978358,15.53922046,..,..,..
Australia,AUS,"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,..,..,67.75,..,..,..,66.93,..,..,..
Australia,AUS,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,10726.92818,10627.29387,10407.74031,10220.8873,10071.39898,..,..,..,..,..
Australia,AUS,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,5793.116026,5745.23219,5575.287093,5468.391369,5334.681679,5483.816402,..,..,..,..
Australia,AUS,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,19.81000775,21.43641705,21.48082841,19.95616761,21.039455,19.98484551,19.25105708,21.19320015,21.8046576,24.13105483
Australia,AUS,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.928,1.926,1.92,1.855,1.826,1.814,1.752,1.741,1.74,..
Australia,AUS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,35210733743,65554890650,57550426823,53997299140,63195482812,46892808568,42980709072,47541126472,62173206194,38605657233
Australia,AUS,Forest area (sq. km),AG.LND.FRST.K2,1232110,1235190,1238270,1241350,1244430,1247510,1250590,..,..,..
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1.14614E+12,1.39665E+12,1.54615E+12,1.57618E+12,1.46748E+12,1.35169E+12,1.20885E+12,1.33014E+12,1.4339E+12,1.39268E+12
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.067465677,2.462786173,3.918161772,2.584875111,2.533115447,2.192640028,2.770656693,2.367617253,2.940333582,1.89682574
Australia,AUS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,46630,50320,60210,66020,65150,60500,54140,51600,53250,54910
Australia,AUS,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,37770,40280,41520,44760,45650,45330,46230,47580,49440,51560
Australia,AUS,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,1.02732E+12,1.12416E+12,1.36869E+12,1.52686E+12,1.52942E+12,1.44083E+12,1.30976E+12,1.26943E+12,1.33044E+12,1.39277E+12
Australia,AUS,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,8.32246E+11,8.99875E+11,9.43991E+11,1.03522E+12,1.07175E+12,1.07958E+12,1.11833E+12,1.17045E+12,1.23521E+12,1.30771E+12
Australia,AUS,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,26.85114098,26.50721223,27.74255764,27.89579166,26.74563505,26.27069662,25.37197856,24.07073605,24.4908859,23.2627516
Australia,AUS,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,13.90687553,15.19796806,14.67368856,15.17743511,15.90671471,16.33994243,17.48002781,16.39031414,16.70831773,..
Australia,AUS,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,94,94,94,94,94,95,95,95,95,95
Australia,AUS,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,20.83966397,20.47031601,21.72951827,21.25226273,21.46703534,21.50952757,21.52658435,20.57679997,21.38760352,21.55516047
Australia,AUS,Income share held by lowest 20%,SI.DST.FRST.20,7.3,..,..,..,7.4,..,..,..,..,..
Australia,AUS,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,25.15141664,26.43612763,26.28416401,25.12798549,25.51481674,23.64420556,22.28487265,23.42683572,24.12042943,25.1976381
Australia,AUS,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1.167233496,6.252729416,1.856527887,-0.12417731,1.479572334,-0.549652212,-0.533004697,3.740729484,1.894618306,3.303873963
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.69512195,81.89512195,82.04634146,82.14878049,82.3,82.4,82.44878049,82.5,82.74878049,..
Australia,AUS,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,36.1451092,36.90502521,33.47763172,31.41263033,32.52690291,29.31025843,32.16081125,34.57624514,34.34566612,35.41091933
Australia,AUS,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.862399774,1.769389864,1.679917358,1.649533076,1.781294955,1.958451254,2.092849524,2.007966393,1.891559767,..
Australia,AUS,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,101.558682,105.5506209,106.2611564,107.2461548,106.2025331,107.6778349,109.4312952,108.4417819,111.012255,110.6208823
Australia,AUS,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,4.8,4.5,4.3,4.1,4,3.9,3.8,3.7,3.7,3.6
Australia,AUS,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,178.7263134,200.2885825,181.8145129,176.8117884,164.9852955,148.1965091,147.9984555,172.4928872,175.7199208,..
Australia,AUS,Net migration,SM.POP.NETM,..,..,989375,..,..,..,..,791229,..,..
Australia,AUS,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,1864472761,2449287569,2405316867,2389397584,2292096914,2174651380,2056844753,2001928453,1861417361,1727395295
Australia,AUS,Population density (people per sq. km of land area),EN.POP.DNST,2.867858584,2.90798641,2.95920037,3.010573526,3.055814795,3.100112596,3.144935531,3.198361419,3.24787091,..
Australia,AUS,Population growth (annual %),SP.POP.GROW,1.555489589,1.389527316,1.745820001,1.72115144,1.491566489,1.439216653,1.561940498,1.684523108,1.536105516,1.515984454
Australia,AUS,"Population, total",SP.POP.TOTL,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24601860,24982688,25364307
Australia,AUS,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,0.3,..,..,..,0.5,..,..,..,..,..
Australia,AUS,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Australia,AUS,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,23.35416777,22.73866988,23.45480834,24.46841679,24.37552001,24.50220085,24.82119137,24.75761598,25.72253335,..
Australia,AUS,"School enrollment, primary (% gross)",SE.PRM.ENRR,105.61943,105.68968,105.98445,105.99385,105.45709,101.59991,100.74441,100.33898,..,..
Australia,AUS,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,..,..,..,..,..,0.92526,0.92517,0.93754,..,..
Australia,AUS,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,157.16766,153.0132,150.31148,..,..
Australia,AUS,Statistical Capacity score (Overall average),IQ.SCI.OVRL,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Surface area (sq. km),AG.SRF.TOTL.K2,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,..
Australia,AUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,20.52695527,20.35031222,21.11709698,21.95811124,21.90887878,21.8654919,22.11928122,21.91585863,22.9858153,..
Australia,AUS,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,..,..,..,..,..,..,28.59184172,29.70879373,29.70879373,..
Australia,AUS,Time required to start a business (days),IC.REG.DURS,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2
Australia,AUS,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Urban population growth (annual %),SP.URB.GROW,1.695285378,1.527957416,1.865330137,1.838175799,1.608455102,1.554800599,1.677390128,1.805663698,1.661749259,1.646113383
Brazil,BRA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,66.8926,65.4728,64.053,63.0646,62.0762,61.0878,60.0994,59.111,57.8858,..
Brazil,BRA,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,4.115756488,4.34203512,4.168328224,4.506904938,4.325610539,4.319132751,4.891353587,4.602101159,4.418537692,4.436544793
Brazil,BRA,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,..,1.320968027,..,1.320968027,..,..,..,..,..
Brazil,BRA,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,98.9,99,99,99.1,99.1,99.2,..,..,..,..
Brazil,BRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.144736395,2.224711944,2.358548364,2.505408788,2.631289885,2.466788048,2.242393446,..,..,..
Brazil,BRA,"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,..,..,..,80.2,..,..,..,..,..,..
Brazil,BRA,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,2374.116653,2430.803396,2501.474053,2568.829708,2619.960616,..,..,..,..,..
Brazil,BRA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1358.502416,1367.188098,1413.733357,1461.076781,1495.541207,..,..,..,..,..
Brazil,BRA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,10.86558477,11.58251532,11.87755984,11.74223064,11.01194282,12.90019142,12.46667904,12.52307537,14.88969989,14.32241885
Brazil,BRA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,3.52364E+11,4.04046E+11,4.40515E+11,4.83765E+11,5.5692E+11,5.43397E+11,5.43257E+11,5.4298E+11,5.57823E+11,..
Brazil,BRA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.796,1.781,1.771,1.764,1.758,1.753,1.747,1.739,1.73,..
Brazil,BRA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,82389933624,1.02427E+11,92568379495,75211028087,87713987797,64738149686,74294617926,68885072606,78162572753,78559269882
Brazil,BRA,Forest area (sq. km),AG.LND.FRST.K2,4984580,4974740,4964900,4955060,4945220,4935380,4925540,..,..,..
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,2.20887E+12,2.6162E+12,2.46519E+12,2.47281E+12,2.45599E+12,1.80221E+12,1.7957E+12,2.06283E+12,1.88548E+12,1.83976E+12
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.52822583,3.974425406,1.921150318,3.004846305,0.50395574,-3.545763393,-3.275916908,1.322869054,1.317223999,1.136585572
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,9650,11080,12310,12790,12120,10190,8920,8700,9080,9130
Brazil,BRA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,13860,14650,14670,15370,15430,14470,13950,14250,14520,14850
Brazil,BRA,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,1.88792E+12,2.18899E+12,2.45382E+12,2.5711E+12,2.45697E+12,2.08423E+12,1.83998E+12,1.80831E+12,1.90229E+12,1.92633E+12
Brazil,BRA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,2.71217E+12,2.89429E+12,2.92372E+12,3.09035E+12,3.12776E+12,2.95803E+12,2.87674E+12,2.96128E+12,3.04112E+12,3.13497E+12
Brazil,BRA,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,21.80132157,21.82627609,21.41722537,21.69376694,20.54841076,17.41164254,14.96954698,14.63038628,14.82937141,15.11296848
Brazil,BRA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,12.05234017,10.57557748,11.27277716,10.4315303,11.36344629,13.13877132,14.3371584,13.31290322,12.95061345,..
Brazil,BRA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,99,99,99,98,97,96,95,91,92,91
Brazil,BRA,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,11.90659334,12.35189532,13.23673454,14.04374544,13.673463,14.0534512,12.06701899,11.80463836,14.50808266,14.65420479
Brazil,BRA,Income share held by lowest 20%,SI.DST.FRST.20,..,3.3,3.3,3.5,3.6,3.6,3.3,3.2,3.1,..
Brazil,BRA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,23.26795162,23.10205624,22.13364737,21.22482871,20.47246275,19.36004398,18.34659153,18.18126996,18.12914535,17.92222642
Brazil,BRA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,8.423338328,8.318565045,7.94317879,7.504539865,7.846709744,7.566175012,8.103604359,3.637380883,3.285439898,4.154274316
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.619,73.921,74.209,74.483,74.745,74.994,75.23,75.456,75.672,..
Brazil,BRA,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,17.81235232,18.8442709,19.30789334,19.92027748,18.90302138,20.54278367,18.299046,18.19678838,22.69169787,22.10877686
Brazil,BRA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.539406981,1.411851159,1.378656465,1.329446109,1.330244423,1.365517154,1.350150573,1.419526638,1.474901547,..
Brazil,BRA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,100.6214912,118.653296,124.6058852,134.8514284,138.4511833,126.0879559,118.3855945,105.0090244,98.8435013,..
Brazil,BRA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,18.7,17.9,17.3,16.7,16.2,15.7,16.4,14.8,14.4,13.9
Brazil,BRA,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,124.44568,134.1583015,126.3308289,123.7562524,119.5611926,106.4117106,109.6413998,115.9902204,113.5032368,..
Brazil,BRA,Net migration,SM.POP.NETM,..,..,15924,..,..,..,..,106000,..,..
Brazil,BRA,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,464779998.8,840690002.4,1288540039,1155729980,914150024.4,1003150024,674630004.9,273890014.6,429160003.7,..
Brazil,BRA,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,3082801866,3214602243,2784072055,2717675069,2647908513,2896909952,2739786527,2698770651,2933489276,3295529773
Brazil,BRA,Population density (people per sq. km of land area),EN.POP.DNST,23.41593165,23.63139813,23.84349819,24.05270826,24.25943272,24.46378847,24.66614079,24.8660385,25.06171624,..
Brazil,BRA,Population growth (annual %),SP.POP.GROW,0.937956738,0.915962656,0.893531058,0.873603191,0.855792023,0.838848283,0.823748232,0.807147162,0.783847579,0.751548427
Brazil,BRA,"Population, total",SP.POP.TOTL,195713635,197514534,199287296,201035903,202763735,204471769,206163058,207833831,209469333,211049527
Brazil,BRA,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..,4.7,3.8,3.1,2.7,3.2,3.9,4.4,4.4,..
Brazil,BRA,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Brazil,BRA,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,29.00062553,29.1019309,28.8879979,27.85906127,26.52265148,28.52009495,28.88043105,27.89796749,29.06463851,..
Brazil,BRA,"School enrollment, primary (% gross)",SE.PRM.ENRR,..,132.49661,134.5204,113.91982,114.25471,112.77329,113.94543,115.44784,..,..
Brazil,BRA,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,..,1.02593,1.02894,1.02651,1.03266,1.01545,1.01698,1.00377,..,..
Brazil,BRA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,95.26338,92.99245,102.06859,100.83797,100.06712,101.53627,100.82772,..,..
Brazil,BRA,Statistical Capacity score (Overall average),IQ.SCI.OVRL,83.33333333,84.44444444,78.88888889,75.55555556,75.55555556,72.22223333,76.66666667,74.44443333,84.44443333,84.44443333
